region_1,region_2,pmci_corr,smci_corr,difference_pmci_minus_smci,abs_difference
delta_RENTORHIN,delta_LMIDTEMP,0.4902534718222948,0.6690970679836924,-0.1788435961613976,0.1788435961613976
delta_VENTRICLES,delta_LHIPPOC,-0.25528648896097367,-0.4216452772786166,0.16635878831764295,0.16635878831764295
delta_LENTORHIN,delta_LMIDTEMP,0.48682631941293586,0.6433215571489417,-0.15649523773600582,0.15649523773600582
delta_VENTRICLES,delta_LENTORHIN,-0.24499353653249292,-0.3738202822092023,0.1288267456767094,0.1288267456767094
delta_LHIPPOC,delta_RHIPPOC,0.6710285984808406,0.5436279742558675,0.1274006242249731,0.1274006242249731
delta_LHIPPOC,delta_LMIDTEMP,0.39776812911275516,0.5086981099499434,-0.11092998083718819,0.11092998083718819
delta_LHIPPOC,delta_RMIDTEMP,0.4220968932137995,0.5118416173536406,-0.08974472413984114,0.08974472413984114
delta_RHIPPOC,delta_LENTORHIN,0.48830842792518303,0.40329633654300284,0.08501209138218019,0.08501209138218019
delta_RENTORHIN,delta_RMIDTEMP,0.5405460312614513,0.6231043154794916,-0.08255828421804035,0.08255828421804035
delta_VENTRICLES,delta_RENTORHIN,-0.2517357675192166,-0.332867014206659,0.08113124668744237,0.08113124668744237
delta_LHIPPOC,delta_RENTORHIN,0.44565066036784323,0.520555323176364,-0.07490466280852076,0.07490466280852076
delta_LENTORHIN,delta_RENTORHIN,0.7342848462440416,0.803578613363395,-0.06929376711935342,0.06929376711935342
delta_LHIPPOC,delta_LENTORHIN,0.49098676026928745,0.5581778176402007,-0.06719105737091324,0.06719105737091324
delta_VENTRICLES,delta_RMIDTEMP,-0.5068451468494424,-0.5650375826863422,0.058192435836899814,0.058192435836899814
delta_VENTRICLES,delta_RHIPPOC,-0.38383067434345736,-0.3455609205291517,-0.03826975381430564,0.03826975381430564
delta_RHIPPOC,delta_LMIDTEMP,0.4583536671251381,0.4241192243181885,0.034234442806949594,0.034234442806949594
delta_LENTORHIN,delta_RMIDTEMP,0.5737107434117775,0.6059246239545039,-0.032213880542726336,0.032213880542726336
delta_RHIPPOC,delta_RMIDTEMP,0.5170773786449567,0.494533228234585,0.02254415041037172,0.02254415041037172
delta_RHIPPOC,delta_RENTORHIN,0.5232412275367876,0.5160119260252869,0.0072293015115006964,0.0072293015115006964
delta_VENTRICLES,delta_LMIDTEMP,-0.5151314794590278,-0.5179148291085124,0.0027833496494845678,0.0027833496494845678
delta_LMIDTEMP,delta_RMIDTEMP,0.8425772877961657,0.8440401893808537,-0.0014629015846879811,0.0014629015846879811
