node,degree,strength,centrality
delta_RMIDTEMP,6,3.644481557089417,1.0
delta_LMIDTEMP,6,3.6071909778901317,1.0
delta_RENTORHIN,5,3.1323472460282296,0.8333333333333333
delta_LHIPPOC,6,3.064546119654633,1.0
delta_LENTORHIN,5,3.014298948650044,0.8333333333333333
delta_RHIPPOC,5,2.381588689376931,0.8333333333333333
delta_VENTRICLES,3,1.5045976890734711,0.5
