,delta_VENTRICLES,delta_LHIPPOC,delta_RHIPPOC,delta_LENTORHIN,delta_RENTORHIN,delta_LMIDTEMP,delta_RMIDTEMP
delta_VENTRICLES,0.0,0.16635878831764295,-0.03826975381430564,0.1288267456767094,0.08113124668744237,0.0027833496494845678,0.058192435836899814
delta_LHIPPOC,0.16635878831764295,0.0,0.1274006242249731,-0.06719105737091324,-0.07490466280852076,-0.11092998083718819,-0.08974472413984114
delta_RHIPPOC,-0.03826975381430564,0.1274006242249731,0.0,0.08501209138218019,0.0072293015115006964,0.034234442806949594,0.02254415041037172
delta_LENTORHIN,0.1288267456767094,-0.06719105737091324,0.08501209138218019,0.0,-0.06929376711935342,-0.15649523773600582,-0.032213880542726336
delta_RENTORHIN,0.08113124668744237,-0.07490466280852076,0.0072293015115006964,-0.06929376711935342,0.0,-0.1788435961613976,-0.08255828421804035
delta_LMIDTEMP,0.0027833496494845678,-0.11092998083718819,0.034234442806949594,-0.15649523773600582,-0.1788435961613976,0.0,-0.0014629015846879811
delta_RMIDTEMP,0.058192435836899814,-0.08974472413984114,0.02254415041037172,-0.032213880542726336,-0.08255828421804035,-0.0014629015846879811,0.0
