,delta_VENTRICLES,delta_LHIPPOC,delta_RHIPPOC,delta_LENTORHIN,delta_RENTORHIN,delta_LMIDTEMP,delta_RMIDTEMP
delta_VENTRICLES,1.0,-0.25528648896097367,-0.38383067434345736,-0.24499353653249292,-0.2517357675192166,-0.5151314794590278,-0.5068451468494424
delta_LHIPPOC,-0.25528648896097367,1.0,0.6710285984808406,0.49098676026928745,0.44565066036784323,0.39776812911275516,0.4220968932137995
delta_RHIPPOC,-0.38383067434345736,0.6710285984808406,1.0,0.48830842792518303,0.5232412275367876,0.4583536671251381,0.5170773786449567
delta_LENTORHIN,-0.24499353653249292,0.49098676026928745,0.48830842792518303,1.0,0.7342848462440416,0.48682631941293586,0.5737107434117775
delta_RENTORHIN,-0.2517357675192166,0.44565066036784323,0.5232412275367876,0.7342848462440416,1.0,0.4902534718222948,0.5405460312614513
delta_LMIDTEMP,-0.5151314794590278,0.39776812911275516,0.4583536671251381,0.48682631941293586,0.4902534718222948,1.0,0.8425772877961657
delta_RMIDTEMP,-0.5068451468494424,0.4220968932137995,0.5170773786449567,0.5737107434117775,0.5405460312614513,0.8425772877961657,1.0
