covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
delta_LHIPPOC,-0.13671084801024536,0.8722223945137401,0.09819280687020875,-0.3291652130167517,0.05574351699626098,0.7195241321742042,1.0573264626892203,0.0,-1.392269478465462,0.16384081033263848,2.6096333390609083
delta_RHIPPOC,-0.03939570736690504,0.961370212593241,0.09736896560000792,-0.23023537315484002,0.15144395842102995,0.7943466126297479,1.163513094871554,0.0,-0.40460229934805675,0.6857698681177548,0.5442035794620325
delta_LENTORHIN,-0.21798503822809506,0.8041374728980049,0.11661030703968497,-0.4465370402520351,0.010566963795845014,0.6398400599092416,1.0106229913308522,0.0,-1.869346233295742,0.06157465974474485,4.021519439213306
delta_RENTORHIN,-0.03261473755716133,0.9679113876717573,0.1204465377800704,-0.2686856136686423,0.20345613855431963,0.7643835296104196,1.2256313984972294,0.0,-0.2707818602201275,0.7865588122841702,0.34637345255406987
delta_LMIDTEMP,-0.17830640062270353,0.8366860230916707,0.1203868124937311,-0.4142602173239931,0.05764741607858603,0.6608289697444732,1.0593414231032363,0.0,-1.4811123986855992,0.13857662445340121,2.851244175286074
delta_RMIDTEMP,-0.05279644548696184,0.9485730791630446,0.12554724466665082,-0.29886452339183583,0.19327163241791212,0.7416598801941181,1.2132122965547942,0.0,-0.42053049931239306,0.6740979536923228,0.5689698491208958
delta_VENTRICLES,0.2341464065957231,1.2638295116397884,0.09106495414675986,0.055662376214282355,0.41263043697716384,1.057240673873764,1.5107865918923031,0.0,2.5712021577298976,0.0101346148258902,6.624564930702291
