,delta_VENTRICLES,delta_LHIPPOC,delta_RHIPPOC,delta_LENTORHIN,delta_RENTORHIN,delta_LMIDTEMP,delta_RMIDTEMP
delta_VENTRICLES,1.0,-0.3914523685301951,-0.4118232816314551,-0.37544691753492127,-0.3393888575772859,-0.5669637434202746,-0.5714125888767806
delta_LHIPPOC,-0.3914523685301951,1.0,0.637343999589811,0.5848654535648085,0.5308906466368692,0.5093233525870313,0.514203658668116
delta_RHIPPOC,-0.4118232816314551,0.637343999589811,1.0,0.4796957435301439,0.5386831234481719,0.4833310769308319,0.5394674855609894
delta_LENTORHIN,-0.37544691753492127,0.5848654535648085,0.4796957435301439,1.0,0.7957678870393388,0.6095810648319493,0.6218365886578333
delta_RENTORHIN,-0.3393888575772859,0.5308906466368692,0.5386831234481719,0.7957678870393388,1.0,0.6068304594637495,0.6016939349724626
delta_LMIDTEMP,-0.5669637434202746,0.5093233525870313,0.4833310769308319,0.6095810648319493,0.6068304594637495,1.0,0.8583595031081664
delta_RMIDTEMP,-0.5714125888767806,0.514203658668116,0.5394674855609894,0.6218365886578333,0.6016939349724626,0.8583595031081664,1.0
